text,label,clean_text
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,disaat cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus elo basic elo cowok bego
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,telat ngasih tau elu edan sarap gue bergaul cigax jifla calis noh licew
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,kadang berfikir percaya tuhan jatuh berkali kali kadang tuhan ninggalkan orangtuaku berencana berpisah kakakku memilih kristen anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,n nku tau matamu sipit diliat
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,kaum cebong kapir udah keliatan dongoknya dongok hahahah
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,ya bani taplak dkk xf x f x x xf x f x x xf x f x x
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,deklarasi pilkada aman anti hoax warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,gue aja kelar re watch aldnoah zero kampret emang endingnya karakter utama cowonya kena friendzone bray xd
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,admin belanja port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan twins baby amp romantika bank islam senawang
USER Enak lg klo smbil ngewe',0,enak lg klo smbil ngewe
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,gw jari lu sebelom gw ukur nyali bacot lu xf x f x x f
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,banci kaleng malu ga nyungsep koe
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,aktor huruhara prabowo s lengserkan pemerintahan jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,bu guru enakan jablay guru esde sih nkayaknya menikmati pecun guru
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,lawan bicara gw gak intelek kyk loe yg otak gak ttg kencing onta gw mengakui hadis nabi sahih kafir kyk loe menolak loe ahlunnar
Belakangan ini kok fikiran ampas banget ya',0,fikiran ampas banget ya
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,ari sarua beki mah repeh monyet xf x f x x xf x f x x
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,cowo gantle kalo ga gantle namanya banci
USER Slga mnr bom \xf0\x9f\x98\x82',0,slga mnr bom xf x f x x
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,asw ya gua jarang ngambek tacut wkkwkwkwkw gua bucin
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,kalo noob peluang disakitin nya gede si
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,bandara udara internasional kertajati dibangun gubernur ahmad heryawan apbn pemerintah pusat insya allah beroperasi
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",0,gubernur presidennya rakyatnya ya
Ini si USER kerjaannya delay mulu! Setan!',1,si kerjaannya delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,pki muncul jelang pemilihan kepala daerah pemilihan presiden krn digoreng gosong
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,mah sdh nenek nenek sy heran cebong biasay bohong
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,islam nusantara produk jil dipasarkan dg gencar antek xc xb jil n nsementara jil anti arab pro aseng n nkata alm kh hasyim muzadi
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,habis sahur sampe jam sibayik udah nete x skg lemas xf x f xa xa
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,gak kak emak mah gak demen ama sipit wkwk
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,kelakuan homok jaman now ngentot aja live blued gayvid gvid lokalhangat
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,ga kak gua orang jawa maaf yak gua orang palembang kakak aja deh yg belajar aksara jawa kalak belajar budaya palembang
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,pegawai guardian training kek mentang gue kek gembel cuman kaos flat shoes nanya dijutekin bangsad emang males belinya kabur gua matahari
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,xe x x dpara bajingan melukai lady menerima ganjaran seratus kali lipat xe x x d sanji hbd thpelautjkt
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,ajakan menolak berita hoax sukseskan pilkada wilayah kota keidri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,presiden ri jokowi luarbiasa kerja nya tulus ihlas rakyatb rsamajkw
Edan emang goollnya fabiano!!',0,edan emang goollnya fabiano
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,beda kewibawaannya yg berwibawa gubernur indonesia massya allah
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,anjir kali lihat orang bego debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",0,gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot keanekaragaman budaya suku agama sesungguhnya kekayaan djarot hadapan peserta rakercabsu
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,iya islam ga dilokalisasi lha kristen aja mas nusantaranya mas liat aja gereja bandung yg pake gamelan yg khotbah pake bhs sunda jawa hkbp nusantara
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,ciptakan situasi kamtibmas menjelang pilkada kapolsek konang silaturahmi tokoh masyarakat
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,positif nse positif respon masyarakat n cangkul impor n garam impor n beras impor n jagung impor n tenaga kerja impor n esemka impor n nurl
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,sembahyang mengadopsi tradisi lokal kerjaan hindu n nistilah xc xa sembahyang xc xa lahir tradisi ritus xc xa menyembahhyang tunggal xc xa shalat menyembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,kau pendikan bodoh gk larang bawa agama biar orang islam yg bayar ahok sadar gk milih ahok gla
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,btp the best abaikan kaum kampret otak micin
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,si otak tempurung mah ga d ladenin smkn d lawan bloon dungu kalo ga gitu ga makan hehe
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,awaasss jgn sampe beritanya sampe akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara ky lg nhn kentut politik kotor skl jmn klu brt plng ky nhn ngeden dungu xf x f x x b
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,pinokio umur taonan tuh gantipresiden
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,cerita silat lae xf x f x x kho ping hoo indonesia liang ie shen penulis china
RT USER benci sekali dgn Umat Islam,1,benci dgn umat islam
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,provokasi mayat politisasi agama penyebab kekalahan pilkada dki cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pemilihan apapun kec jd wakil etnis mayorita
USER dari pada gua nete',0,gua nete
USER Lol bani lowo',1,lol bani lowo
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",0,takabur lahir penguasa rakyat ulama cendikia iblis mahluq yg alim amp beribadah beratus th dilaknat krn hasud takabburnya ahli ilmu filsafat yg tdk failosof mari demo sendi
"A orang yang suka ke konser-konser, sedikit boros.",0,a orang suka konser konser boros
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,0,makan racun ulama hukum rokok mubah
