text,label,source,dataset,nb_annotators,clean_text
@USER.wood17 knp lo gak berani bersumpah dan bertaruh? Krnlo pecundang. Lo mau lempar batu sembunyi tangan. Akun lo aja bodong. Lo ngaca. Nggak punya kaca? Biar lo lihat seberapa pengecutnya lo,1,Instagram,ID_instagram,3,user wood knp lo gak berani bersumpah bertaruh krnlo pecundang lo mau lempar batu sembunyi tangan akun lo aja bodong lo ngaca punya kaca biar lo lihat seberapa pengecutnya lo
"haha, somad somad. Muka dekil otak 0% , kok ya g malu ngaku ustad....",1,Instagram,ID_instagram,3,haha somad somad muka dekil otak kok g malu ngaku ustad
"hahaha, kaum sableng 212 kl berita begini mrk buta tuli...",1,Instagram,ID_instagram,3,hahaha kaum sableng kl berita begini mrk buta tuli
"hahaha, makin stress aja  ni umat sableng, dlu raja salma jg d catut  dlm mslh rijik, eh skrg tmbh parah nyatut kepala negara tetangga, segitu parahnya pengikut lu mad...",1,Instagram,ID_instagram,3,hahaha makin stress aja ni umat sableng dlu raja salma jg d catut dlm mslh rijik eh skrg tmbh parah nyatut kepala negara tetangga segitu parahnya pengikut lu mad
HIDUP PSI = partai SAMPAH indonesia..... ...,1,Instagram,ID_instagram,3,hidup psi partai sampah indonesia
":v web abal2 di bayar brp sih kalianampe rela mau msk neraka, emg di injil ga diajarin kali ya? Ap kitabny udh di amandemen yahudi? Kok org disalib dianggap tuhan? Dn knp yahudi nyalib tuhanny tp umatny gk marah tuhanny di salib? Brarti pd girang tuhanny m",1,Instagram,ID_instagram,3,v web abal bayar brp sih kalianampe rela mau msk neraka emg injil ga diajarin kali ap kitabny udh amandemen yahudi kok org disalib dianggap tuhan dn knp yahudi nyalib tuhanny tp umatny gk marah tuhanny salib brarti pd girang tuhanny m
". Nggak waras, stress berat semoga cepet bunuh diri ... �ð����ð����ð����ð����ð���",1,Instagram,ID_instagram,3,waras stress berat semoga cepet bunuh diri
. Org gitu masih ada aja yang belain... Astafir... Kurangin goblok nya,1,Instagram,ID_instagram,3,org gitu aja belain astafir kurangin goblok nya
"... di negaranya diburu sebagai kriminal, disini dieluelukan di istana. Tragis amat. Siapa yang tolol dan konyol. Subhanalloh.",1,Instagram,ID_instagram,3,negaranya diburu kriminal disini dieluelukan istana tragis siapa tolol konyol subhanalloh
... Emang tuhannya ingin seluruh wanita didunia ini di segala jaman berseragam seperti ini. Ente emang suka mempersulit diri. Onta idiot.,1,Instagram,ID_instagram,3,emang tuhannya seluruh wanita didunia segala jaman berseragam ente emang suka mempersulit diri onta idiot
"... Harap maklum akhlakul kharimah seorang begundal, budak dan jongos",1,Instagram,ID_instagram,3,harap maklum akhlakul kharimah seorang begundal budak jongos
"... Itu tabiat bani onta. Kalau bersalah, pertama : mengikari, kedua : ngeles, ketiga : menyalahkan keadaan atau orang lain, kemudian yang keempat : fitnah wal jamaah. Lihat saja yang dilakukan Si Sengkuni al Jogjani, kan polanya seperti itu.",1,Instagram,ID_instagram,3,tabiat bani onta kalau bersalah pertama mengikari kedua ngeles ketiga menyalahkan keadaan orang kemudian keempat fitnah wal jamaah lihat dilakukan si sengkuni al jogjani kan polanya
"... Jadi untuk menjaring suara para pemuja batu dan pipis onta, hanya ada satu cara, yaitu seolah-olah petahana adalah penghina, penista, penindas agama, walaupun tidak ada fakta dan data yang valid. Dengan kebohongan dan fitnah yang diulang2 dan berjamaah",1,Instagram,ID_instagram,3,jadi menjaring suara pemuja batu pipis onta satu cara olah petahana penghina penista penindas agama walaupun fakta data valid kebohongan fitnah diulang berjamaah
"... Kalau tulisan tuhan itu huruf Cina, huruf Korea, atau huruf Latin terus tidak sakral, bukan keajaiban, bukan tanda kebesaran Aulloh ?? Gitu mikirnya tlol banget. Emang tuhan cuman bisa nulis arab ya .? Konyol banget. Tapiii ya sudahlah, wong kencing on",1,Instagram,ID_instagram,3,kalau tulisan tuhan huruf cina huruf korea huruf latin terus sakral bukan keajaiban bukan tanda kebesaran aulloh gitu mikirnya tlol banget emang tuhan cuman nulis arab konyol banget tapiii sudahlah wong kencing on
"... Kelihatan siapa2 yang kepengin berkuasa, menggantikan pemerintah sekarang. Tetapi ambisi tanpa prestasi, mau tapi tidak mampu. Akhirnya omongannya jadi clometan, nggak berdasar, jadi nggak waras, aneh tingkahnya. Mereka ini orang2 frustasi. Paham ente ",1,Instagram,ID_instagram,3,kelihatan siapa kepengin berkuasa menggantikan pemerintah sekarang ambisi prestasi mau mampu akhirnya omongannya jadi clometan berdasar jadi waras aneh tingkahnya orang frustasi paham ente
... Mana suaranya para alumni wan Abud KW212. Kok cuman pada plonga plongo .!!???,1,Instagram,ID_instagram,3,mana suaranya alumni wan abud kw kok cuman plonga plongo
"... Membandingkan manusia dengan hewan itu super bodoh, tidak senilai... Maka klo pertanyaannya dibalik, permadi arya tidak menista tidak korupsi dll maka dia sama dengan anjing yg mulia tadi �ð����ð���, setuju?",1,Instagram,ID_instagram,3,membandingkan manusia hewan super bodoh senilai klo pertanyaannya dibalik permadi arya menista korupsi sama anjing yg mulia tadi setuju
"... Menurut si Sengkuni al Jogjani, yang patut jari koalisi Partai Aullo adalah Paguyuban Korupsi Syariah, Gerakan Intoleransi dan Rasis, serta Persaudaraan Anti Nasionalis. Sertifikat Halal dari langit sedang diurus oleh Sengkuni. Segera dibagikan sambil ",1,Instagram,ID_instagram,3,si sengkuni al jogjani patut jari koalisi partai aullo paguyuban korupsi syariah gerakan intoleransi rasis persaudaraan anti nasionalis sertifikat halal langit sedang diurus sengkuni segera dibagikan
"... Nggak usah digagas, santai saja menghadapi orang frustasi, nafsu besar tenaga kurang. Anggap saja orang2 yang agak nggak waras, gitu saja. Yang penting kita terus kerja, kerja dan kerja. Semangat bro .!!!",1,Instagram,ID_instagram,3,usah digagas santai menghadapi orang frustasi nafsu besar tenaga kurang anggap orang waras gitu penting terus kerja kerja kerja semangat bro
".... Inilah contoh yang mewakili akhlakul kharimah kader2 onta KW 212. Bagaimana jadinya, kalau NKRI bisa mereka kuasai, orang berwajah Iblis syaitonirojim kayak gini saja bisa merampok duit hampir 2 trilliun. Itupun masih banyak pembelanya, itu mungkin se",1,Instagram,ID_instagram,3,inilah contoh mewakili akhlakul kharimah kader onta kw bagaimana jadinya kalau nkri kuasai orang berwajah iblis syaitonirojim kayak gini merampok duit hampir trilliun itupun banyak pembelanya mungkin se
".... Inilah gambaran anak hasil didikan kaum religious bani onta. Kalau tidak diselamatkan dari ajaran iblis padang pasir, bisa dipastikan gedenya jadi teroris, minimal preman berdaster. Insya alloh.",1,Instagram,ID_instagram,3,inilah gambaran anak hasil didikan kaum religious bani onta kalau diselamatkan ajaran iblis padang pasir dipastikan gedenya jadi teroris minimal preman berdaster insya alloh
".... Itulah gambaran tabiat dan akhlak kaum pengusung Wahabi Takfiri. Begundal wan Abud, Jongos bani onta, anti NKRI dan Pancasila. Pahlawan negeri sendiri dikapir2in, dituduh budak sex. Keterlaluan, katanya orang beragama, tapi mulutnya kotor bin busuk, p",1,Instagram,ID_instagram,3,gambaran tabiat akhlak kaum pengusung wahabi takfiri begundal wan abud jongos bani onta anti nkri pancasila pahlawan negeri sendiri dikapir in dituduh budak sex keterlaluan katanya orang beragama mulutnya kotor bin busuk p
.... Justru film ini dibuat untuk menutupi adegan2 yang ente harapkan itu. Paham ente !!?? Pasti ente belum minum pipis onta syariah .. pasti .!!!,1,Instagram,ID_instagram,3,justru film dibuat menutupi adegan ente harapkan paham ente ente minum pipis onta syariah
